date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:24:00	802/802	---M-Z	200	added ('OK')	application/javascript	etag:W/%22322-190fe35460b%22	https://www.fanduel.com/_next/static/cc7493cc453513d6631f195bcd16c6e4539c7706/_buildManifest.js	C:/My%20Web%20Sites/fanduel/www.fanduel.com/_next/static/cc7493cc453513d6631f195bcd16c6e4539c7706/_buildManifest.js	(from https://www.fanduel.com/)
19:24:00	106/106	---M-Z	200	added ('OK')	application/javascript	etag:W/%226a-190fe35460b%22	https://www.fanduel.com/_next/static/cc7493cc453513d6631f195bcd16c6e4539c7706/_ssgManifest.js	C:/My%20Web%20Sites/fanduel/www.fanduel.com/_next/static/cc7493cc453513d6631f195bcd16c6e4539c7706/_ssgManifest.js	(from https://www.fanduel.com/)
19:24:02	1369/1369	---M-Z	200	added ('OK')	text/css	etag:%2265999b45-20c%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.min.css	C:/My%20Web%20Sites/fanduel/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.min.css	(from https://www.fanduel.com/)
19:24:04	2390/2390	---M-Z	200	added ('OK')	text/css	etag:%2265999b43-31b%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick-theme.min.css	C:/My%20Web%20Sites/fanduel/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick-theme.min.css	(from https://www.fanduel.com/)
19:24:06	3860/3860	---MCZ	200	added ('OK')	text/html	etag:%22zb76e8kmc12z8%22	https://www.fanduel.com/watch	C:/My%20Web%20Sites/fanduel/www.fanduel.com/watch.html	(from https://www.fanduel.com/)
19:24:06	4650/4650	---M--	403	error ('Forbidden')	text/html	date:Mon,%2029%20Jul%202024%2018:24:07%20GMT	https://www.fanduel.com/about	C:/My%20Web%20Sites/fanduel/www.fanduel.com/about	(from https://www.fanduel.com/)
19:24:07	4650/4650	---M--	403	error ('Forbidden')	text/html	date:Mon,%2029%20Jul%202024%2018:24:08%20GMT	https://www.fanduel.com/casino-bonus-spins-PIA	C:/My%20Web%20Sites/fanduel/www.fanduel.com/casino-bonus-spins-PIA	(from https://www.fanduel.com/)
19:24:07	822377/822377	---M--	200	added ('OK')	text/css	etag:%22884355627bc8547ac60ad8a47e97458b%22	https://s3.amazonaws.com/cdn.fanduel.com/css/2024/fanduel/homepage/app.css?v=1.9	C:/My%20Web%20Sites/fanduel/s3.amazonaws.com/cdn.fanduel.com/css/2024/fanduel/homepage/app83a7.css	(from https://www.fanduel.com/)
19:24:09	4650/4650	---M--	403	error ('Forbidden')	text/html	date:Mon,%2029%20Jul%202024%2018:24:10%20GMT	https://www.fanduel.com/sports-betting-strategy	C:/My%20Web%20Sites/fanduel/www.fanduel.com/sports-betting-strategy	(from https://www.fanduel.com/)
19:24:09	132048/132048	---M--	200	added ('OK')	image/png	etag:%222429535e5dd2d588a3c49a6027532002%22	https://s3.amazonaws.com/cdn.fanduel.com/images/2023/fanduel/homepage/facelift/fanduel-tv.png	C:/My%20Web%20Sites/fanduel/s3.amazonaws.com/cdn.fanduel.com/images/2023/fanduel/homepage/facelift/fanduel-tv.png	(from https://www.fanduel.com/)
